"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target"
310,614.057,608.588,606.367,2.003,6.443,-0.340,5958557.582,279783.643,-4411718.625,-0.455,13898573.551,622.400
311,616.838,609.904,606.893,2.050,6.373,-0.519,7068285.555,1137684.391,-3962555.998,0.126,14180177.458,621.250
312,618.309,610.984,607.364,1.960,4.179,-0.404,4109125.003,857029.107,-3891954.034,-0.495,13402120.534,614.250
313,616.956,611.295,607.589,-0.669,0.847,-1.466,-978166.664,-286759.380,-4130012.918,-0.483,12632025.800,604.960
314,612.957,610.692,607.503,-2.150,-0.298,-1.800,-10484696.656,-3068759.119,-4961742.221,0.486,14174031.165,606.800
315,610.905,610.321,607.480,-2.506,-0.500,-3.286,-6213997.344,-2554839.081,-4722753.909,-0.647,13355292.441,607.140
316,609.650,610.018,607.469,-2.271,-0.707,-2.918,-3990183.056,-2267954.833,-4552911.305,-0.693,12422636.526,600.250
317,606.517,609.088,607.232,-2.279,-0.934,-4.057,-8795722.157,-3804987.740,-5007137.176,-0.958,9863361.434,605.150
318,606.061,608.713,607.164,0.031,-1.152,-2.090,-3137167.305,-2663565.822,-4574773.911,0.522,10734715.315,617.780
319,609.967,609.576,607.512,1.809,1.315,-0.284,7369915.470,293352.925,-3494155.716,0.989,12956489.676,615.990
320,611.975,610.187,607.790,1.458,1.722,-1.593,3160952.303,-235249.643,-3551953.038,-0.457,11614106.541,621.130
321,615.027,611.229,608.227,3.479,2.409,-0.113,6279850.736,979312.000,-3025080.886,0.453,12718014.984,625.040
322,618.364,612.545,608.779,3.287,3.374,-0.846,8162329.447,2021976.273,-2534839.320,0.703,14862704.888,633.980
323,623.570,614.586,609.605,2.622,3.254,1.304,11917006.545,3679536.698,-1814799.974,0.590,16143713.993,633.490
324,626.876,616.387,610.388,2.841,4.203,0.602,7693010.623,3257201.659,-1780051.818,0.415,16783513.731,639.980
325,631.244,618.634,611.358,3.035,5.588,1.080,10471321.792,4473462.846,-1196183.099,0.004,16793471.945,646.050
326,636.180,621.245,612.496,3.361,5.927,0.906,11857761.995,5440813.280,-677270.787,0.691,18459030.147,642.590
327,638.316,623.278,613.482,1.358,5.462,0.452,5667321.630,4283254.006,-875181.879,-0.555,17381633.608,649.330
328,641.988,625.759,614.658,2.500,5.003,1.079,7870443.613,5044533.394,-443973.045,0.968,19144520.765,647.020
329,643.665,627.784,615.719,1.100,4.653,0.173,3700183.329,4122164.762,-581558.756,-0.490,18160899.496,655.760
330,647.697,630.448,617.032,1.503,5.360,-1.450,9863182.859,5842833.063,165022.906,0.246,18786304.928,648.410
331,647.934,632.159,618.060,0.906,4.372,-2.973,1860883.489,3939352.271,-304116.050,-0.331,18149041.946,641.240
