"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target","target(t+1)","target(t+2)","target(t+3)"
0.1763779527559055,0.10995200045645931,0.10281492301008321,0.11161019280765894,0.4345483359746434,0.44030584165421804,0.11169667964021676,0.4552125039885496,0.41650562455677087,0.25424976769369995,0.9530000000000001,0.2721728028981044,0.12455499875286263,0.12782023083376795,0.1114487199836738,0.09865989433346181
0.17795275590551182,0.1102182683552489,0.10077056551672657,0.10849101807513817,0.43268621236133126,0.4219081688812013,0.10678038697182443,0.452236122208827,0.4202225603834126,0.2612230658380375,0.8875,0.2898226321474348,0.12782023083376795,0.1114487199836738,0.09865989433346181,0.09836511643726899
0.1795275590551181,0.11153534349747658,0.09928594084423686,0.10562224289993577,0.48419175911251977,0.4296721440364808,0.11780480083427998,0.4531800640165038,0.42638157760314155,0.2709653206502888,0.22449999999999998,0.2739540731056896,0.1114487199836738,0.09865989433346181,0.09836511643726899,0.10156232284982192
0.18110236220472442,0.10669259608823937,0.09611145613160657,0.10211664909747933,0.5143423137876386,0.4028422045758314,0.09251568930520122,0.44149877635039747,0.42019889648929826,0.2677858360015746,0.10149999999999998,0.25243193979703366,0.09865989433346181,0.09836511643726899,0.10156232284982192,0.09807033854107616
0.1826771653543307,0.09899222355092019,0.09180684419970205,0.09815044376365993,0.3813391442155309,0.35342794244830567,0.06663066351328702,0.436159568757347,0.4169428908899206,0.2672169350570559,0.756,0.2658689159016752,0.09836511643726899,0.10156232284982192,0.09807033854107616,0.10435137525226182
0.18425196850393702,0.093757206469359,0.08787805287609372,0.09430480117966006,0.38510301109350237,0.33538407107477,0.09933145868638149,0.44015560432321965,0.42121158174399703,0.27440124609228933,0.019000000000000017,0.24470486596623348,0.10156232284982192,0.09807033854107616,0.10435137525226182,0.12276365615292167
0.1858267716535433,0.09138456929978693,0.0846822450083827,0.09072501491577598,0.38510301109350237,0.33978693293497914,0.10363321477122478,0.44408140071959645,0.4262785717528729,0.28264168043976284,0.4385,0.24283730951317845,0.09807033854107616,0.10435137525226182,0.12276365615292167,0.11500872996077192
0.18740157480314962,0.08858162418663475,0.08139847912596368,0.08710813242117825,0.4268621236133122,0.3128390596745027,0.07575560066295461,0.44360684430136815,0.42791073807965413,0.28744691347110407,0.4395,0.23985616592958794,0.10435137525226182,0.12276365615292167,0.11500872996077192,0.12058683476565146
0.1889763779527559,0.08890970427621496,0.07913289389864576,0.08389003440675383,0.4906497622820919,0.34220457583143327,0.10789772621464089,0.4482026938874033,0.4340780397568927,0.29712322935717417,0.8380000000000001,0.2536015474488515,0.12276365615292167,0.11500872996077192,0.12058683476565146,0.10929457381918788
0.19055118110236222,0.09556164696204975,0.07914355547618583,0.08160243351273463,0.5537242472266244,0.3887294598631968,0.15791727965139016,0.46156841759723555,0.4494949821566137,0.317028248046857,0.9944999999999999,0.28457025325984336,0.11500872996077192,0.12058683476565146,0.10929457381918788,0.10471417881680677
0.1921259842519685,0.09728763352027564,0.07828529848419001,0.07903970224092144,0.5166798732171156,0.3692703828917367,0.1453285908489916,0.45111075470653234,0.44494939513486875,0.3164535069121872,0.03699999999999998,0.25265823048149066,0.12058683476565146,0.10929457381918788,0.10471417881680677,0.10011110859164186
0.19370078740157481,0.10038775262761244,0.07813070560985537,0.0768139283980919,0.5474247226624406,0.38381555153707053,0.15458388424365446,0.4535604387069833,0.44983308152653856,0.32554234098655055,0.7135,0.26362482596975645,0.10929457381918788,0.10471417881680677,0.10011110859164186,0.10042856171061873
0.1952755905511811,0.09850723559241055,0.07672870816330332,0.07415227384437503,0.4880744849445325,0.3617815866027203,0.1714557068101827,0.44662483071367043,0.44606954781293534,0.3255613860365021,0.259,0.2538093567071957,0.10471417881680677,0.10011110859164186,0.10042856171061873,0.09489580735130727
0.1968503937007874,0.09565198785628198,0.07494822471406974,0.07137623924595711,0.4118462757527733,0.34589983489268017,0.17536639416004024,0.4449023617018665,0.4454348094216081,0.32854983128553433,0.239,0.2420059466505104,0.10011110859164186,0.10042856171061873,0.09489580735130727,0.07850162127842908
0.1984251968503937,0.09214057994099327,0.07282123999477574,0.06848582460283847,0.42194928684627575,0.32107477002909035,0.1885696195459878,0.4437848392730952,0.4448899232935118,0.3314718146359547,0.007000000000000006,0.22010314564338063,0.10042856171061873,0.09489580735130727,0.07850162127842908,0.06768554001043066
0.2,0.08991058628862982,0.07093147537575403,0.06570360729930139,0.4047543581616482,0.34690227219121,0.19032011769306692,0.4455284270498801,0.4467732473518542,0.33684557347504307,0.621,0.22476093278076778,0.09489580735130727,0.07850162127842908,0.06768554001043066,0.07593932110382987
0.2015748031496063,0.08648951926757308,0.0686045860775789,0.0627637310152311,0.4233755942947702,0.33935450900228004,0.22013445315555225,0.4440511428954587,0.4459566341377129,0.3393409118420125,0.25,0.21492401275144496,0.07850162127842908,0.06768554001043066,0.07593932110382987,0.06364935035486723
0.2031496062992126,0.07848008577630187,0.0646624677820452,0.05919012745646583,0.3835578446909667,0.33223916974604917,0.18303879029404646,0.434865620450872,0.43738714363816045,0.33335942815742653,0.028500000000000025,0.18811162815159552,0.06768554001043066,0.07593932110382987,0.06364935035486723,0.057799142876578787
0.2047244094488189,0.06936041024275565,0.059886081043981715,0.05524865294312208,0.36232171156893817,0.35474486987970755,0.1681036890817334,0.43242094917117047,0.43314680746226863,0.33134025509981935,0.319,0.17786639579957306,0.07593932110382987,0.06364935035486723,0.057799142876578787,0.022992675903040716
0.2062992125984252,0.06616519545727949,0.05648770320300423,0.0518048861918553,0.3890649762282092,0.32480934035694625,0.13499320285293956,0.4429804689611293,0.4409496287901456,0.34186545000477125,0.1945,0.16121057790617774,0.06364935035486723,0.057799142876578787,0.022992675903040716,0.021994966100541913
0.2078740157480315,0.05973910500702529,0.05203649457992043,0.0479252387297012,0.3658082408874802,0.30700133658306467,0.11517905361366135,0.43803732575989235,0.4365671695670075,0.33977876171948174,0.3025,0.15166328608557886,0.057799142876578787,0.022992675903040716,0.021994966100541913,0.04108750368472371
0.2094488188976378,0.05341286501881715,0.047353396645334674,0.0439126631074892,0.4004754358161648,0.2923972010378174,0.0934468053408816,0.4372425413840248,0.4349899020554928,0.34032039472886194,0.323,0.14028571441622095,0.022992675903040716,0.021994966100541913,0.04108750368472371,0.027482370014285402
