"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target","Output:target(t+1)","Output:target(t+2)","Output:target(t+3)"
599,804.530,797.537,787.513,1.154,1.877,7.332,12121701.363,8582585.210,4681622.277,-0.667,47870398.959,801.420,672.9399164609,667.4342733907,650.6263597666
600,803.493,797.907,787.969,0.164,0.029,6.051,1711247.522,5945228.508,3901580.230,-0.133,47540417.709,819.060,669.7481545585,668.7752304652,656.0208644898
601,808.682,799.921,788.989,1.381,0.740,5.603,14676397.641,9246320.829,5105026.711,0.630,48991708.579,824.570,673.5956251113,669.8746852904,653.0123180737
602,813.978,802.269,790.155,1.367,2.279,8.636,14021153.881,9576258.499,5354391.945,0.384,49876458.932,820.430,663.7734417848,667.3204113286,661.8215036933
603,816.129,803.998,791.148,1.400,3.190,7.142,7338661.001,8090298.188,4981253.692,-0.026,49838152.774,829.610,666.2394554292,667.3897762019,658.6562239075
604,820.623,806.438,792.409,3.518,5.946,7.718,11069191.427,9084579.530,5425483.154,0.363,50570038.485,845.720,676.021468682,669.5852453132,652.3931829815
605,828.988,810.179,794.157,3.255,9.146,9.273,20872450.521,12074521.357,6574777.763,0.800,52580167.285,861.550,677.1902171529,673.4337831178,655.6323225
606,839.842,815.071,796.366,4.485,10.789,9.700,25216711.088,14153636.677,7470858.237,0.956,54627439.078,857.230,674.6913779081,671.7655875419,658.9137700487
607,845.638,819.086,798.362,4.485,8.485,9.561,13977240.885,11995985.611,6947167.818,-0.006,54615511.890,873.630,684.2459579568,674.9845219913,655.4208039112
608,854.969,824.281,800.830,5.306,10.532,11.903,22812096.990,14708921.191,8046664.257,0.976,57025059.310,871.480,694.6450735338,679.9090559969,654.103673933
609,860.473,828.776,803.146,3.046,10.307,11.320,13630854.760,12857440.154,7627703.800,-0.431,56075825.982,880.230,699.5944048216,681.7599731783,652.492428924
610,867.058,833.677,805.673,2.168,12.571,11.730,14630994.423,13216852.877,7922902.814,0.926,57835917.142,877.530,690.4694044951,681.5945429376,662.0744910544
611,870.549,837.853,808.029,2.368,10.608,10.675,8450139.282,11585574.413,7534887.279,-0.087,57710009.914,887.100,703.0263822704,686.5964564937,654.6527944893
612,876.066,842.543,810.622,1.542,13.359,9.946,10677760.428,11923424.728,7784005.818,0.725,58855936.107,915.890,690.6972776599,685.6989900954,668.9616821
613,889.341,849.529,814.073,5.096,19.582,15.576,45460251.622,21742644.659,11300111.661,0.956,62676147.208,903.870,705.3797474293,688.9939058124,658.1560329423
614,894.184,854.704,817.017,2.686,13.002,13.619,17438470.828,15995241.286,9663875.516,-0.793,60129276.507,909.180,695.739392355,687.3903083517,667.1503145173
615,899.182,859.892,820.039,3.607,13.632,13.689,16568660.729,15884174.547,9833225.188,0.335,61065905.963,908.530,707.8513916065,690.4642193632,662.1759258701
616,902.298,864.524,822.941,2.416,12.456,14.892,10553303.052,14230690.086,9462384.615,-0.547,59821615.919,906.970,722.9433971313,698.7644124409,659.5834567209
617,903.856,868.567,825.696,-0.974,11.497,14.787,6004175.168,12580711.925,9050697.231,0.332,60480862.037,889.420,697.3352135076,694.5921295244,677.4127206453
618,899.044,870.553,827.785,-1.599,9.927,11.208,-10922374.204,7118218.127,7285904.766,-0.774,58507379.596,882.790,710.8392429234,696.9825995608,666.4151549841
619,893.626,871.718,829.588,-2.903,10.153,10.183,-12318939.673,5001047.772,6551544.918,0.102,58738741.885,873.320,700.8497183643,697.4976620587,675.9045837408
