NUM,EMA_5,EMA_20,EMA_60,ROC_5,ROC_20,ROC_60,FORCE_5,FORCE_20,FORCE_60,MFM,ACDL,TARGET
92,67.341,68.978,69.987,-4.433,-4.017,-6.946,-2724701.371,-3571121.919,-2008483.324,-0.288,-10646149.241,66.850
93,67.177,68.775,69.884,-1.908,-4.527,-7.384,-968957.334,-2988869.285,-1859269.748,0.429,-9019796.955,67.530
94,67.295,68.657,69.807,-0.163,-4.240,-8.172,176977.591,-2469086.740,-1717364.267,-0.359,-10323110.083,67.520
95,67.370,68.549,69.732,0.282,-4.579,-8.360,110012.584,-2236213.472,-1661841.420,-0.778,-12183354.639,65.990
96,66.910,68.305,69.609,-0.287,-6.064,-7.758,-2084384.127,-2639733.861,-1819590.145,-0.905,-16013975.517,66.970
97,66.930,68.178,69.523,0.180,-5.007,-8.735,-165661.865,-2038637.049,-1639545.135,0.627,-13666032.864,67.900
98,67.253,68.151,69.469,0.548,-4.082,-10.717,811404.207,-1581096.725,-1495116.234,0.776,-11357506.482,67.420
99,67.309,68.082,69.402,-0.148,-6.698,-10.631,42613.098,-1572894.096,-1495111.411,-0.327,-12376803.609,68.040
100,67.553,68.078,69.358,3.107,-7.011,-9.074,764008.145,-1212923.398,-1373737.324,0.796,-9543849.977,66.980
101,67.362,67.973,69.280,0.015,-9.548,-10.287,-440653.023,-1368833.108,-1422138.571,-0.924,-12028304.255,66.660
102,67.128,67.848,69.194,-1.826,-9.429,-11.767,-680125.589,-1348855.738,-1413513.395,-0.483,-13778983.989,65.160
103,66.472,67.592,69.061,-3.352,-5.784,-12.771,-2907911.559,-1921677.430,-1608594.382,-0.636,-16902886.080,64.790
104,65.911,67.325,68.921,-4.777,-4.679,-13.877,-2604534.076,-1928925.209,-1621354.537,-0.444,-19302620.746,65.270
105,65.697,67.129,68.802,-2.553,-1.435,-12.939,-1209783.251,-1594768.675,-1516401.326,-0.089,-19596944.974,66.340
106,65.912,67.054,68.721,-0.480,-1.236,-11.606,280228.326,-1132385.803,-1359789.759,0.673,-17545720.843,66.450
107,66.091,66.997,68.647,1.980,-4.043,-11.553,295272.101,-993552.902,-1304538.959,0.371,-16447103.843,64.730
108,65.637,66.781,68.518,-0.093,-5.018,-9.519,-1605262.439,-1413817.533,-1439023.961,-0.699,-18645538.155,64.010
109,65.095,66.517,68.370,-1.930,-5.367,-12.303,-2188472.960,-1598681.958,-1501839.372,0.091,-18221940.428,63.790
110,64.660,66.257,68.220,-3.844,-5.258,-13.972,-1794630.913,-1542326.231,-1485613.386,-0.731,-21566693.851,63.370
111,64.230,65.982,68.061,-4.635,-4.246,-12.460,-1678731.809,-1533241.218,-1484345.197,-0.822,-24398266.454,63.170
112,63.877,65.714,67.901,-2.410,-5.505,-11.353,-1402808.139,-1468262.131,-1463578.495,0.568,-21983377.697,65.620
113,64.458,65.705,67.826,2.515,-2.828,-7.460,3086502.241,-179368.309,-1020014.512,0.954,-17286124.159,66.590
