NUM,EMA_5,EMA_10,EMA_15,ROC_5,ROC_10,ROC_15,FORCE_5,FORCE_10,FORCE_15,MFM,ACDL,TARGET
665,886.857,886.610,879.662,-3.875,-0.480,1.366,-15462732.182,-5579284.891,-295089.122,-0.408,57800628.646,881.270
666,884.995,885.639,879.863,-2.834,-0.657,2.804,-4325546.021,-1301446.493,1985400.306,-0.852,55877533.246,868.310
667,879.433,882.489,878.419,-2.373,-5.195,-0.609,-11585240.068,-5811115.887,-1525853.252,-0.413,55045370.300,870.760
668,876.542,880.356,877.462,-1.363,-3.663,-0.083,-5991353.995,-3809746.062,-685569.327,-0.303,54401772.163,871.220
669,874.768,878.695,876.682,-0.240,-4.175,-1.024,-3692191.257,-2952313.283,-486606.384,-0.219,53969567.251,867.630
670,872.389,876.683,875.550,-1.548,-4.502,-1.128,-5425599.384,-4032331.894,-1537332.541,0.331,54789132.682,859.100
671,867.959,873.486,873.494,-1.061,-5.278,-3.156,-8930531.206,-6197434.249,-3337715.329,-0.391,54058376.466,859.700
672,865.206,870.980,871.770,-1.270,-3.342,-6.135,-5532279.271,-4840769.004,-2762472.838,-0.583,52830409.389,864.640
673,865.017,869.827,870.878,-0.755,-2.056,-4.340,559563.386,-1643674.876,-824257.646,0.823,54953757.723,879.730
674,869.922,871.628,871.985,1.395,0.734,-3.239,13829645.327,5995140.412,4325000.711,0.963,57530617.645,890.220
675,876.688,875.008,874.264,3.622,1.016,-2.015,17395613.605,9364669.457,6850319.392,0.857,59534469.194,879.810
676,877.728,875.881,874.957,2.339,1.324,-2.995,5514602.957,4344289.858,3713102.176,-0.922,57917513.232,871.980
677,875.812,875.172,874.585,0.849,0.140,-1.961,-2078775.919,415231.035,1090772.695,-0.715,56340936.913,877.000
678,876.208,875.504,874.887,-0.310,0.663,-0.656,2080056.114,2230229.061,2254141.131,0.624,57634011.034,875.040
679,875.819,875.420,874.906,-1.705,0.854,0.197,-78290.084,1025645.144,1423000.679,-0.828,55777770.968,886.250
680,879.296,877.389,876.324,0.732,3.160,0.565,7971543.471,5215747.951,4254026.917,0.430,56700242.486,900.620
681,886.404,881.613,879.361,3.284,4.760,3.721,15698497.934,9931504.116,7616324.410,0.940,58737876.432,900.680
682,891.163,885.080,882.026,2.700,4.168,3.436,10524007.529,8157599.135,6686162.199,-0.523,57211531.472,884.740
683,889.022,885.018,882.365,1.109,0.569,1.552,-10930192.754,-3114435.857,-879432.241,-0.838,54380017.524,880.930
684,886.324,884.275,882.186,-0.600,-1.044,1.533,-12344206.949,-5306763.036,-2666032.629,-0.065,54121801.388,869.790
685,880.813,881.641,880.636,-3.423,-1.139,1.244,-19444636.593,-10459259.916,-6538465.535,0.001,54124112.208,866.200
686,875.942,878.834,878.832,-3.828,-0.663,0.756,-16019244.899,-10224569.297,-6867215.032,-0.777,52139250.553,873.650
687,875.178,877.891,878.184,-1.253,-0.382,1.042,-6128204.682,-5883033.834,-4302078.684,-0.171,51825983.601,877.070
688,875.809,877.742,878.045,-0.438,0.232,-0.302,-1889198.228,-3615425.013,-2940717.014,-0.896,50100711.362,880.370
689,877.329,878.220,878.335,1.216,-0.663,-1.106,1325588.415,-1548045.611,-1603732.174,0.616,51547604.276,887.880
690,880.846,879.976,879.529,2.503,-1.415,0.917,5206431.543,1091256.828,217749.072,-0.186,51225662.242,882.310
691,881.334,880.400,879.876,0.991,-2.040,1.185,-41509.918,-1023043.112,-1126643.667,-0.266,50722740.625,886.430
692,883.033,881.497,880.695,1.067,0.191,1.075,1412442.508,-51517.572,-445769.788,0.486,51232804.291,893.490
693,886.518,883.677,882.295,1.490,1.426,2.108,4946601.605,2142380.132,1111816.410,0.524,52124841.578,905.090
694,892.709,887.571,885.144,1.938,4.058,2.126,10915674.804,5908096.690,3829567.009,0.743,53589060.545,905.240
695,896.886,890.783,887.656,2.599,4.507,0.513,7376083.436,4887879.237,3387983.720,-0.030,53529561.407,905.990
696,899.921,893.548,889.948,2.207,3.702,0.590,5346382.207,4233170.240,3125358.224,0.043,53602920.847,920.240
697,906.694,898.401,893.734,2.994,4.922,4.012,15856518.555,10168374.060,7344287.352,0.907,55950721.641,923.000
698,912.129,902.874,897.393,1.979,4.842,4.776,12934439.010,9608720.580,7312536.423,1.000,58519663.641,924.690
699,916.316,906.840,900.805,2.149,4.146,6.312,9727859.370,8464353.218,6812806.882,0.431,59365542.697,919.610
700,917.414,909.162,903.155,1.503,4.228,6.166,3126467.193,5093322.240,4701666.376,-0.188,58991957.299,918.550
701,917.793,910.869,905.080,-0.184,3.624,5.139,1552132.102,3876984.000,3914390.819,-0.574,58127622.254,910.680
702,915.422,910.835,905.780,-1.335,1.924,3.832,-8499566.632,-2028461.109,-150278.546,-0.109,57731964.497,896.600
703,909.148,908.246,904.632,-3.038,-0.938,1.844,-40225259.035,-20509948.878,-13091074.207,0.535,61674910.609,910.700
704,909.665,908.693,905.391,-0.969,0.603,2.570,-13167198.056,-9335608.373,-6336074.444,0.749,63848874.851,903.800
705,907.710,907.803,905.192,-1.606,-0.242,2.436,-13485645.538,-10205959.669,-7309382.701,-0.370,63091442.040,902.900
706,906.107,906.912,904.905,-0.854,-1.884,1.858,-9614663.758,-8690821.584,-6629797.388,-0.542,61964353.957,887.700
707,899.971,903.419,902.755,-0.993,-3.824,-0.648,-21636259.306,-15416026.823,-11511004.015,-0.699,59863206.389,885.350
708,895.097,900.133,900.579,-2.784,-4.254,-2.181,-15817130.670,-13372908.019,-10594487.688,-0.161,59576105.668,882.270
709,890.822,896.885,898.291,-2.382,-4.060,-2.537,-12488276.900,-12001573.717,-9998997.897,-0.802,58058138.752,890.920
710,890.854,895.801,897.369,-1.327,-3.008,-1.663,-3262050.134,-7057577.878,-6850322.735,0.364,58696726.388,887.750
711,889.820,894.337,896.167,0.006,-2.518,-3.531,-4471308.029,-7027077.140,-6855260.370,-0.696,57183940.644,904.220
712,894.620,896.134,897.173,2.131,0.850,-2.035,8758471.841,653851.718,-1596098.877,0.931,59174475.875,906.570
713,898.603,898.031,898.348,2.754,-0.453,-1.960,7184563.810,1268923.724,-891993.048,0.861,60653199.144,905.000
714,900.735,899.298,899.180,1.580,0.133,-1.589,4104183.884,664287.416,-1037565.914,0.835,61747563.523,896.570
